cityId	country	province	cityName
C001	中国	黑龙江	七台河市
C002	中国	海南	三亚市
C003	中国	福建	三明市
C004	中国	河南	三门峡市
C005	中国	上海	上海市
C006	中国	江西	上饶市
C007	中国	广东	东莞市
C008	中国	山东	东营市
C009	中国	宁夏	中卫市
C010	中国	广东	中山市
C011	中国	山西	临汾市
C012	中国	山东	临沂市
C013	中国	辽宁	丹东市
C014	中国	浙江	丽水市
C015	中国	云南	丽江市
C016	中国	内蒙古	乌兰察布市
C017	中国	内蒙古	乌海市
C018	中国	新疆	乌鲁木齐市
C019	中国	四川	乐山市
C020	中国	江西	九江市
C021	中国	广东	云浮市
C022	中国	安徽	亳州市
C023	中国	黑龙江	伊春市
C024	中国	新疆	伊犁哈萨克自治州
C025	中国	广东	佛山市
C026	中国	黑龙江	佳木斯市
C027	中国	河北	保定市
C028	中国	河南	信阳市
C029	中国	海南	儋州市
C030	中国	新疆	克孜勒苏柯尔克孜自治州
C031	中国	新疆	克拉玛依市
C032	中国	安徽	六安市
C033	中国	贵州	六盘水市
C034	中国	甘肃	兰州市
C035	中国	内蒙古	兴安盟
C036	中国	四川	内江市
C037	中国	四川	凉山彝族自治州
C038	中国	内蒙古	包头市
C039	中国	北京	北京市
C040	中国	广西	北海市
C041	中国	湖北	十堰市
C042	中国	江苏	南京市
C043	中国	四川	南充市
C044	中国	广西	南宁市
C045	中国	福建	南平市
C046	中国	江西	南昌市
C047	中国	江苏	南通市
C048	中国	河南	南阳市
C049	中国	新疆	博尔塔拉蒙古自治州
C050	中国	福建	厦门市
C051	中国	黑龙江	双鸭山市
C052	中国	浙江	台州市
C053	中国	安徽	合肥市
C054	中国	江西	吉安市
C055	中国	吉林	吉林市
C056	中国	新疆	吐鲁番市
C057	中国	山西	吕梁市
C058	中国	宁夏	吴忠市
C059	中国	河南	周口市
C060	中国	内蒙古	呼伦贝尔市
C061	中国	内蒙古	呼和浩特市
C062	中国	新疆	和田地区
C063	中国	湖北	咸宁市
C064	中国	陕西	咸阳市
C065	中国	新疆	哈密市
C066	中国	黑龙江	哈尔滨市
C067	中国	河北	唐山市
C068	中国	河南	商丘市
C069	中国	陕西	商洛市
C070	中国	新疆	喀什地区
C071	中国	浙江	嘉兴市
C072	中国	甘肃	嘉峪关市
C073	中国	吉林	四平市
C074	中国	宁夏	固原市
C075	中国	新疆	塔城地区
C076	中国	黑龙江	大兴安岭地区
C077	中国	山西	大同市
C078	中国	黑龙江	大庆市
C079	中国	云南	大理白族自治州
C080	中国	辽宁	大连市
C081	中国	甘肃	天水市
C082	中国	天津	天津市
C083	中国	山西	太原市
C084	中国	山东	威海市
C085	中国	湖南	娄底市
C086	中国	湖北	孝感市
C087	中国	福建	宁德市
C088	中国	浙江	宁波市
C089	中国	安徽	安庆市
C090	中国	陕西	安康市
C091	中国	河南	安阳市
C092	中国	贵州	安顺市
C093	中国	甘肃	定西市
C094	中国	四川	宜宾市
C095	中国	湖北	宜昌市
C096	中国	江西	宜春市
C097	中国	陕西	宝鸡市
C098	中国	安徽	宣城市
C099	中国	安徽	宿州市
C100	中国	江苏	宿迁市
C101	中国	湖南	岳阳市
C102	中国	广西	崇左市
C103	中国	四川	巴中市
C104	中国	内蒙古	巴彦淖尔市
C105	中国	新疆	巴音郭楞蒙古自治州
C106	中国	江苏	常州市
C107	中国	湖南	常德市
C108	中国	甘肃	平凉市
C109	中国	河南	平顶山市
C110	中国	四川	广元市
