cityId	country	province	cityName
C111	中国	四川	广安市
C112	中国	广东	广州市
C113	中国	甘肃	庆阳市
C114	中国	河北	廊坊市
C115	中国	陕西	延安市
C116	中国	吉林	延边朝鲜族自治州
C117	中国	河南	开封市
C118	中国	河北	张家口市
C119	中国	湖南	张家界市
C120	中国	甘肃	张掖市
C121	中国	江苏	徐州市
C122	中国	山东	德州市
C123	中国	四川	德阳市
C124	中国	山西	忻州市
C125	中国	湖南	怀化市
C126	中国	湖北	恩施土家族苗族自治州
C127	中国	广东	惠州市
C128	中国	四川	成都市
C129	中国	江苏	扬州市
C130	中国	河北	承德市
C131	中国	江西	抚州市
C132	中国	辽宁	抚顺市
C133	中国	西藏	拉萨市
C134	中国	广东	揭阳市
C135	中国	四川	攀枝花市
C136	中国	云南	文山壮族苗族自治州
C137	中国	河南	新乡市
C138	中国	江西	新余市
C139	中国	江苏	无锡市
C140	中国	西藏	日喀则市
C141	中国	山东	日照市
C142	中国	云南	昆明市
C143	中国	新疆	昌吉回族自治州
C144	中国	云南	昭通市
C145	中国	山西	晋中市
C146	中国	山西	晋城市
C147	中国	江西	景德镇市
C148	中国	云南	曲靖市
C149	中国	山西	朔州市
C150	中国	辽宁	朝阳市
C151	中国	辽宁	本溪市
C152	中国	广西	来宾市
C153	中国	浙江	杭州市
C154	中国	吉林	松原市
C155	中国	山东	枣庄市
C156	中国	广西	柳州市
C157	中国	湖南	株洲市
C158	中国	广西	桂林市
C159	中国	广东	梅州市
C160	中国	广西	梧州市
C161	中国	云南	楚雄彝族自治州
C162	中国	陕西	榆林市
C163	中国	甘肃	武威市
C164	中国	湖北	武汉市
C165	中国	贵州	毕节市
C166	中国	湖南	永州市
C167	中国	陕西	汉中市
C168	中国	广东	汕头市
C169	中国	广东	汕尾市
C170	中国	广东	江门市
C171	中国	安徽	池州市
C172	中国	辽宁	沈阳市
C173	中国	河北	沧州市
C174	中国	广西	河池市
C175	中国	广东	河源市
C176	中国	福建	泉州市
C177	中国	山东	泰安市
C178	中国	江苏	泰州市
C179	中国	河南	洛阳市
C180	中国	山东	济南市
C181	中国	山东	济宁市
C182	中国	青海	海东市
C183	中国	青海	海北藏族自治州
C184	中国	海南	海口市
C185	中国	青海	海西蒙古族藏族自治州
C186	中国	山东	淄博市
C187	中国	安徽	淮北市
C188	中国	安徽	淮南市
C189	中国	江苏	淮安市
C190	中国	广东	深圳市
C191	中国	广东	清远市
C192	中国	浙江	温州市
C193	中国	陕西	渭南市
C194	中国	浙江	湖州市
C195	中国	湖南	湘潭市
C196	中国	湖南	湘西土家族苗族自治州
C197	中国	广东	湛江市
C198	中国	安徽	滁州市
C199	中国	山东	滨州市
C200	中国	河南	漯河市
C201	中国	福建	漳州市
C202	中国	山东	潍坊市
C203	中国	广东	潮州市
C204	中国	河南	濮阳市
C205	中国	山东	烟台市
C206	中国	河南	焦作市
C207	中国	黑龙江	牡丹江市
C208	中国	广西	玉林市
C209	中国	云南	玉溪市
C210	中国	广东	珠海市
C211	中国	吉林	白城市
C212	中国	吉林	白山市
C213	中国	甘肃	白银市
C214	中国	广西	百色市
C215	中国	湖南	益阳市
C216	中国	江苏	盐城市
C217	中国	辽宁	盘锦市
C218	中国	四川	眉山市
C219	中国	宁夏	石嘴山市
C220	中国	河北	石家庄市
C221	中国	福建	福州市
C222	中国	河北	秦皇岛市
C223	中国	云南	红河哈尼族彝族自治州
C224	中国	浙江	绍兴市
C225	中国	黑龙江	绥化市
C226	中国	四川	绵阳市
C227	中国	山东	聊城市
C228	中国	广东	肇庆市
C229	中国	四川	自贡市
C230	中国	安徽	芜湖市
C231	中国	江苏	苏州市
C232	中国	广东	茂名市
C233	中国	湖北	荆州市
C234	中国	湖北	荆门市
C235	中国	福建	莆田市
C236	中国	山东	菏泽市
C237	中国	江西	萍乡市
C238	中国	辽宁	营口市
C239	中国	辽宁	葫芦岛市
C240	中国	安徽	蚌埠市
C241	中国	河北	衡水市
C242	中国	湖南	衡阳市
C243	中国	浙江	衢州市
C244	中国	湖北	襄阳市
C245	中国	青海	西宁市
C246	中国	陕西	西安市
C247	中国	河南	许昌市
C248	中国	广西	贵港市
C249	中国	贵州	贵阳市
C250	中国	广西	贺州市
C251	中国	四川	资阳市
C252	中国	江西	赣州市
C253	中国	内蒙古	赤峰市
C254	中国	吉林	辽源市
C255	中国	辽宁	辽阳市
C256	中国	四川	达州市
C257	中国	山西	运城市
C258	中国	江苏	连云港市
C259	中国	吉林	通化市
C260	中国	内蒙古	通辽市
C261	中国	四川	遂宁市
C262	中国	贵州	遵义市
C263	中国	河北	邢台市
C264	中国	西藏	那曲市
C265	中国	河北	邯郸市
C266	中国	湖南	邵阳市
C267	中国	河南	郑州市
C268	中国	湖南	郴州市
C269	中国	内蒙古	鄂尔多斯市
C270	中国	湖北	鄂州市
C271	中国	甘肃	酒泉市
C272	中国	重庆	重庆市
C273	中国	浙江	金华市
C274	中国	甘肃	金昌市
C275	中国	广西	钦州市
C276	中国	辽宁	铁岭市
C277	中国	贵州	铜仁市
C278	中国	安徽	铜陵市
C279	中国	宁夏	银川市
C280	中国	内蒙古	锡林郭勒盟
C281	中国	辽宁	锦州市
C282	中国	江苏	镇江市
C283	中国	吉林	长春市
C284	中国	湖南	长沙市
C285	中国	山西	长治市
C286	中国	辽宁	阜新市
C287	中国	安徽	阜阳市
C288	中国	广西	防城港市
C289	中国	广东	阳江市
C290	中国	山西	阳泉市
C291	中国	新疆	阿克苏地区
C292	中国	新疆	阿勒泰地区
C293	中国	内蒙古	阿拉善盟
C294	中国	甘肃	陇南市
C295	中国	湖北	随州市
C296	中国	四川	雅安市
C297	中国	山东	青岛市
C298	中国	辽宁	鞍山市
C299	中国	广东	韶关市
C300	中国	香港	香港特别行政区
C301	中国	安徽	马鞍山市
C302	中国	河南	驻马店市
C303	中国	黑龙江	鸡西市
C304	中国	河南	鹤壁市
C305	中国	黑龙江	鹤岗市
C306	中国	江西	鹰潭市
C307	中国	湖北	黄冈市
C308	中国	安徽	黄山市
C309	中国	湖北	黄石市
C310	中国	黑龙江	黑河市
C311	中国	贵州	黔东南苗族侗族自治州
C312	中国	贵州	黔南布依族苗族自治州
C313	中国	贵州	黔西南布依族苗族自治州
C314	中国	黑龙江	齐齐哈尔市
C315	中国	福建	龙岩市
C316	中国	吉林	吉林省
C317	中国	新疆	新疆维吾尔自治区-自治区直辖县级行政区划
C318	中国	河南	河南省-省直辖县级行政区划
C319	中国	海南	海南省-自治区直辖县级行政区划
C320	中国	湖北	湖北省-自治区直辖县级行政区划
